Serial Port,Voltage (V),Average X,Average Y,Average Z
COM19,0.6486,-23.95,-5.48,148.93
COM20,0.6486,30.84,-53.56,125.2
COM21,0.6486,-18.61,32.51,-151.54
COM16,0.0497,-35.54,-20.12,-78.05
COM18,0.0497,-26.42,29.18,-40.04
COM19,0.0497,-14.54,-17.38,-35.24
COM20,0.0497,22.29,-51.83,-48.9
COM21,0.0497,8.64,31.91,-57.96
COM16,0.2877,-33.4,2.2,-111.17
COM18,0.2877,-19.13,35.55,-21.06
COM19,0.2877,-18.27,-12.67,38.42
COM20,0.2877,27.07,-55.55,17.32
COM21,0.2877,-3.17,32.23,-94.7
COM16,0.5969,-31.13,68.09,-145.72
COM18,0.5969,-15.94,28.29,-15.47
COM19,0.5969,-20.78,61.78,133.02
COM20,0.5969,25.7,11.8,109.3
COM21,0.5969,-31.16,50.85,-136.14
COM16,0.0229,-35.86,-22.26,-74.28
COM18,0.0229,-27.07,28.47,-42.75
COM19,0.0229,-14.25,-17.59,-42.87
COM20,0.0229,24.48,-57.66,-62.21
COM21,0.0229,9.98,32.14,-53.3
COM16,0.2002,-35.1,32.79,-88.66
COM18,0.2002,-27.94,18.05,-48.28
COM19,0.2002,-14.07,53.24,9.31
COM20,0.2002,21.53,9.23,-10.65
COM21,0.2002,-13.7,50.27,-74.21
COM16,0.5676,-34.38,68.52,-139.82
COM18,0.5676,-5.08,27.73,-15.44
COM19,0.5676,-68.66,65.03,123.54
COM20,0.5676,-18.44,12.89,101.15
COM21,0.5676,-75.03,52.43,-143.62
COM16,0.4389,-31.74,15.29,-132.43
COM18,0.4389,-14.49,39.49,-7.83
COM19,0.4389,-20.79,-9.63,84.34
COM20,0.4389,28.77,-54.9,62.43
COM21,0.4389,-9.6,32.04,-118.11
COM16,0.4236,-34.83,17.46,-128.74
COM18,0.4236,-3.01,39.53,-6.76
COM19,0.4236,-69.05,-6.0,79.75
COM20,0.4236,-14.89,-54.07,58.12
COM21,0.4236,-54.17,34.48,-128.04
COM16,0.4467,-35.18,58.0,-122.61
COM18,0.4467,-9.08,24.82,-24.81
COM19,0.4467,-67.03,62.4,85.56
COM20,0.4467,-19.33,12.06,64.85
COM21,0.4467,-69.49,52.19,-124.76
COM16,0.0674,-38.0,-15.47,-79.29
COM18,0.0674,-14.21,30.29,-36.07
COM19,0.0674,-63.34,-13.33,-30.4
COM20,0.0674,-18.15,-56.63,-48.12
COM21,0.0674,-38.3,33.75,-73.33
COM16,0.2964,-33.35,2.61,-111.7
COM18,0.2964,-18.72,35.55,-19.35
COM19,0.2964,-18.61,-12.23,40.28
COM20,0.2964,27.06,-55.38,19.86
COM21,0.2964,-3.52,32.11,-96.3
COM16,0.2072,-37.13,36.79,-88.38
COM18,0.2072,-16.37,18.23,-45.2
COM19,0.2072,-63.13,57.31,10.84
COM20,0.2072,-21.91,10.37,-8.71
COM21,0.2072,-53.2,46.5,-78.26
COM16,0.5942,-31.51,67.58,-144.77
COM18,0.5942,-15.51,28.01,-15.75
COM19,0.5942,-20.57,61.52,131.21
COM20,0.5942,25.65,12.18,109.15
COM21,0.5942,-30.88,50.81,-136.12
COM16,0.2222,-34.07,-5.14,-101.66
COM18,0.2222,-20.54,33.79,-25.86
COM19,0.2222,-17.69,-14.35,18.23
COM20,0.2222,26.2,-56.36,-2.81
COM21,0.2222,1.19,32.33,-84.88
COM16,0.3722,-33.22,47.63,-113.39
COM18,0.3722,-22.72,22.42,-33.78
COM19,0.3722,-16.97,56.6,62.36
COM20,0.3722,23.53,10.75,41.8
COM21,0.3722,-21.43,50.75,-100.87
COM16,0.3033,-36.59,45.03,-101.96
COM18,0.3033,-13.06,20.61,-37.66
COM19,0.3033,-64.25,59.22,40.46
COM20,0.3033,-21.01,11.4,21.84
COM21,0.3033,-63.95,51.96,-101.83
COM16,0.2643,-36.63,41.79,-96.23
COM18,0.2643,-14.68,19.67,-40.72
COM19,0.2643,-63.72,58.83,28.54
